rank	first element is Word	second element is Example sentence		Number of repetition						
6	indulging	we indulged in some hot fudge sundaes		0						
6	ditch	And there was no drainage ditch on the side.		0						
6	disobedience			0						
6	bedridden	She has pulmonary hypertension and when she is not bedridden	 she has to carry an oxygen tank that allows her to breathe.	0						
6	frail	Mariah is 20 but she is frail and permanently disabled.		0						
6	Dubbed	the media dubbed anorexia the slimming disease.		0						
6	bloated	Sit your bloated butt down		0						
6	dispense	he dispensed a gentle pat on Claude's back		0						
6	bagel			0						
6	dough			0						
6	pap smear			0						
6	smear	there was an oil smear on his jacket		0						
6	pap	trying to eat a trayful of tasteless pap		0						
6	pap	she can not go to the gym or anywhere without being papped		0						
6	smear	the smears were stained for cryptosporidium		0						
6	smear	his face was smeared with dirt		0						
6	dogmatic	laws exempt dogmatic faith healers from prosecution		0						
6	demeaning	During the hearing a rare show of bipartisan unity in Washington Democratic Senator Richard Blumenthal said Trump's demeaning and dismissive comments about intelligence officers were unacceptable	 and praised their service.	0						
6	demeaning	During the hearing a rare show of bipartisan unity in Washington Democratic Senator Richard Blumenthal said Trump's demeaning and dismissive comments about intelligence officers were unacceptable	 and praised their service.	0						
6	prolific	Trump has been prolific on Twitter in recent weeks	 taking on those who have accused him of dismissing the findings of the nation's intelligence agencies.	0						
6	prolific	Trump has been prolific on Twitter in recent weeks	 taking on those who have accused him of dismissing the findings of the nation's intelligence agencies.	0						
6	ditch	he was praised for ditching the coastal areas		0						
6	ditch	it crossed her mind to ditch her shoes and run		0						
6	precipitation	Acidic proteins are known to trigger carbonate precipitation via matrix mediated processes in microbialites.		0						
6	precipitation	Acidic proteins are known to trigger carbonate precipitation via matrix mediated processes in microbialites.		0						
6	single out	the president also accused the intelligence community of leaking information to publications such as The New York Times and The Washington Post	 singling out the National Security Agency and the FBI.	0						
6	hammock	carefully avoid the hammock		0						
6	procession	50 pole dancers escort Taiwan politician's funeral procession		0						
6	exorcism	In actual fact	 I think it was more an attempt at personal exorcism .	0						
6	fugitive	fugitives from justice		0						
6	break a leg!			0						
6	enfranchisement	the World War hastened the enfranchisement of women		0						
6	enfranchisement	the World War hastened the enfranchisement of women		0						
6	ovulation	A man is normally attracted to a woman who can ovulate		0						
6	thrashing around	To prevent drawning in water avoid thrashing around		0						
6	inch(v)			0						
6	dry-heave	"I puked and puked until I was dry-heaving"""		0						
6	monolith	we passed Stonehenge	 the strange stone monoliths silhouetted against the horizon	0						
6	xenophobia	If categorization and bias come so easily	 are people doomed to xenophobia and racism?	0						
6	spared	she asked if I could spare her a dollar or two		0						
6	muzzle	‘She should have muzzled her dog	’ Mr Millard said.	0						
6	summon	Mr Fillon said he would respect the summons and tell the judge the truth.		0						
6	punctured	her nose piercing punctured her septum.		0						
6	assertiveness	He has been very assertive and direct.		0						
6	allegedly	The US intelligence chief has promised to explain why Russia allegedly meddled in the US presidential election.		0						
6	tumultuous	tumultuous applause		0						
6	hastened	he hastened to refute the assertion		0						
6	throbbing	the war drums throbbed		0						
6	bloated	Sit your bloated butt down		0						
6	book	Had they been in neighboring Oregon	 her parents could have been booked for medical neglect.	0						
6	face-off	Donald Trump's face-off with spy chiefs on hacking comes to a head		0						
6	precipitation	Acidic proteins are known to trigger carbonate precipitation via matrix mediated processes in microbialites.		0						
6	lurk	a foul prejudice lurks behind any misgivings about islam's infallible message.		0						
6	delectation	a box of chocolates for their delectation		0						
6	fib	parents told little white fibs about out-of-wedlock births		0						
6	cinnamon			0						
6	venture	a joint venture between Egyptian telecoms firm Orascom and the government.		0						
6	ludicrous	it's ludicrous that I have been fined		0						
6	dissect			0						
6	unduly	there is no need to be unduly alarmed		0						
6	glitche	sudden glitche		0						
6	glitche	the receiver glitches so muıch		0						
6	convey		 a series of interviews with defectors.	0						
6	defectors	"author of ""Nothing to Envy"""	 a series of interviews with defectors.	0						
6	hiatus	there was a brief hiatus in the war with France		0						
6	trait	he was a letter-of-the-law man	 a common trait among coaches	0						
6	culprit	The culprits behaved like seasoned thugs but claimed that they were guardians of law and order.		0						
6	dispense	let's dispense with the formalities	 shall we?	0						
6	dough	lots of sough		0						
6	pulmonary hypertension			0						
6	stringent	The most stringent application of this system will be precision approach	 where the system guides the aircraft to within a few hundred feet of the ground.	0						
6	sundaes	we indulged in some hot fudge sundaes		0						
6	appropriations	through the appropriations process		0						
6	subtly	his language expresses rich and subtle meanings		0						
6	letter-of-the-law	Since it was thefirst time he'd broken the rules	 the school decided to ignore the letter of the lawand just give him a warning.	0						
6	comes to a head	Donald Trump's face-off with spy chiefs on hacking comes to a head		0						
6	respiratory tract.	As powder is inhaled	 it can sensitize an individual through the mucous membranes of the respiratory tract	0						
6	abstinence	started drinking again after six years of abstinence		0						
6	wind up	the windup of the convention		0						
6	restrained	he had restrained manners		0						
6	vengeance	So in the end it sort of has a happy ending	 in that you get to see Grace exact vengeance .	0						
6	agony	he crashed to the ground in agony		0						
6	in a pull up	why would she post a picture of him in a pull up	the indecency'	0						
6	in a pull up	why would she post a picture of him in a pull up	the indecency'	0						
6	in a pull up	why would she post a picture of him in a pull up	the indecency'	0						
6	in a pull up	why would she post a picture of him in a pull up	the indecency'	0						
6	in a pull up	why would she post a picture of him in a pull up	the indecency'	0						
6	in a pull up	why would she post a picture of him in a pull up	the indecency'	0						
6	in a pull up	why would she post a picture of him in a pull up	the indecency'	0						
6	putrid	They all in general had putrid gums	 the spots and lassitude	0						
6	cat call	they were fired for catcalling at women		0						
6	riff-raff	I saw the sort of riff-raff that had been invited		0						
6	wraith	In keeping with the Batman myth established in the 30's comics	 Wayne Senior is killed in a random street robbery	0						
6	complying	we are unable to comply with your request		0						
6	potent	thrones were potent symbols of authority		0						
6	potent	Potent is believed to have been originally derived from vair.		0						
6	expedite	he promised to expedite economic reforms		0						
6	WHİPPİNG OUT	I whipped out my new credit card to payfor dinner. We didn't know the police had warrants until they whipped them out.		0						
6	WHİPPİNG OUT	I think I can whip one out for you very quickly. Thefactory whips out twenty of these every minute.		0						
6	off the chain			0						
6	Mole			0						
6	set out			0						
6	succumbed	he has become the latest to succumb to the strain		0						
6	rhetoric	Amid all the hate trump's rhetoric has spurred we need more heros like this man		0						
6	spurred	Amid all the hate trump's rhetoric has spurred we need more heros like this man		0						
6	dissonance	an unusual degree of dissonance for such choral styles		0						
6	spurred	she spurred her horse toward the hedge		0						
6	deprive	the city was deprived of its water supplies		0						
6	entourage	an entourage of bodyguards		0						
6	tout	President Trump Trump touts 'renewal of American spirit'		0						
6	tout	This is the best term to use for touts - street hawkers who approach you at every tourist stop to ask you to buy things.		0						
6	tout	le tout Washington adored him		0						
6	brag	The basic game of three card brag was one of the games described by Hoyle	 and therefore dates from the late eighteenth century or earlier.	0						
6	brag	“I found them	” she bragged	0						
6	brag	that was my brag heifer		0						
6	deprecating	he sniffed in a deprecating way		0						
6	boaster			0						
6	egotistical	he's selfish	 egotistical	0						
6	residing	people who work in the city actually reside in neighboring towns		0						
6	perforation	the perforations allow water to enter the well		0						
6	nubs the point			0						
6	despise	he despised himself for being selfish		0						
6	imbeciles	Religion turns average people into imbeciles.		0						
6	ferret	Fishers are among the least understood of the weasel family	 or mustelids	0	 minks	 ermines	 ferrets 	 badgers	 otters	 and wolverines.
6	ferret			0						
6	ferret			0						
6	poodle			0						
6	repugnance			0						
6	aggregation	database aggregation		0						
6	loathing	the thought filled him with loathing		0						
6	loathing			0						
6	misogynist			0						
6	quite the contrary			0						
6	atrophied			0						
6	postpartum			0						
6	smack			0						
6	audacity	she had the audacity to pick up the receiver and ask me to hang up		0						
6	oligarchy	the ruling oligarchy of military men around the president		0						
6	crowing	Funny, I thought normal roosters crowed in the morning.		0						
6	exulting			0						
6	amniotic sac			0						
6	e caul			0						
6	disavow			0						
6	gurney	None of us present will forget the sight of him lying on the hospital gurney about to be wheeled into the operating room.		0						
6	Heathens	The brochure promises hell for heathens and salvation through Christ.		0						
6	arduous	an arduous journey		0						
6	stumbled upon			0						
6	lung	snake lunged at the man		0						
6	extort	he was convicted of trying to extort $1 million from a developer		0						
6	complying	we are unable to comply with your request		0						
6	replicating	it might be impractical to replicate eastern culture in the west		0						
6	consummated	his first wife refused to consummate their marriage		0						
6	puberty	Now the gymnasts for instance have been shown to have delayed menarche and also delayed puberty .		0						
6	eerie	an eerie green glow in the sky		0						
6	pertinent	Mr. Comey sent a letter to Congress saying the FBI had received new information pertinent to the investigation into Clinton's emails.		0						
6	illicit	illicit sexual contact		0						
6	indicted	She was indicted on a capital murder charge and has been the run for months.		0						
6	remuneration			0						
6	exhumed		"Body exhumed after cnn's ""THE HUNT"" profile."	0						
6	abominable	his conduct toward women during and since his campaign has been abominable	 whether directed at Hillary Clinton or others	0						
6	excusitis	making excuses every time.		0						
6	alibi	What can I use as an alibi that will help me save face?		0						
6	ailment	Now let's see just how we can pro- tect ourselves from these four common ailments.		0						
6	peculiar	You've already checked with four doctors	 and none of them has found anything peculiar with your heart.	0						
6	How to Live 365 Days a Year. Dr. Schindler			0						
6	shuns	he shuns anybody who has the slightest sniffle.		0						
6	sniffle.	he shuns anybody who has the slightest sniffle.		0						
6	exertion	he is afraid of overexertion	 so he does almost nothing.	0						
6	squeegee	If we have a two-story house for instance	 the windows and side walls will call for a squeegee with a long handle.	0						
6	Regurgitate	gulls regurgitate food for the chicks		0						
6	innocuous			0						
6	resurrect	he wouldn’t resurrect Roosevelt-style mass internment.		0						
6	internment	he wouldn’t resurrect Roosevelt-style mass internment.		0						
6	vindicate	history would vindicate his presidency.		0						
6	rain poncho	Bush who struggles to put on a rain poncho and paints pictures of dogs and Jay Leno is a war criminal.		0						
6	bail	The moment Suge collapsed in court after bail hearing		0						
6	sodomise	The criminal who sodomised kids		0						
6	ostentatious	books that people buy and display ostentatiously but never actually finish		0						
6	devotion	Cult member explains his devotion to Jezus		0						
6	cult	hat's the difference between a cult and a religion?		0						
6	repent	the priest urged his listeners to repent		0						
6	lump			0						
6	santizer			0						
6	pimples	Do you have pimples on your vagina?		0						
6	sprout	You can watch the experiment's potato sprout in the time-lapse video		0						
6	untamable	zebras were untamable.		0						
6	interverted			0						
6	asserting			0						
6	affiliated	Russian-affiliated group		0						
6	innocuous	"he claims the contact was ""innocuous"" and provided the publication with copies of what he says are the only three messages he sent."		0						
6	reinstated			0						
6	rigged			0						
6	interim			0						
6	proprietor			0						
6	stumbled			0						
6	pagan	the turkeys are less pagan and more paranoid		0						
6	paranoid	the turkeys are less pagan and more paranoid		0						
6	chalked up	He chalked up the turkeys’ behavior to a combination of curiosity and fear.		0						
6	carcass			0						
6	compounded	Turkeys’ instinct to follow the flock probably compounded the circling.		0						
6	pheasants	similar behavior in birds of the family Phasianidae, which includes turkeys, pheasants, and chickens.		0						
6	Phasianidae,	similar behavior in birds of the family Phasianidae, which includes turkeys, pheasants, and chickens.		0						
6	BRINK			0						
6	the brink of the cliffs			0						
6	decimated	European colonies brought with them unchecked hunting and habitat loss, which decimated turkey numbers.		0						
6	extirpated	the use of every legal measure to extirpate this horrible evil from the land		0						
6	parakeet	the last known Carolina parakeet died		0						
6	subsistence	the minimum income needed for subsistence		0						
6	subsistence	ights of occupation normally only continue during the subsistence of the marriage		0						
6	brisk	on a brisk Thursday morning,		0						
6	infamy	rocketed to Internet infamy.		0						
6	repatriation			0						
6	shade alight	we have to shade alight to the darkest place of the world.		0						
6	delegates	chinese delegates		0						
6	congested	The teacher stood up from his congested desk full of paperwork and gulped a bit.		0						
6	recessive	a recessive gene is		0						
6	cannibalism			0						
6	en masse	TV is a useful way for the government to distribute propaganda en masse.		0						
6	pejorative			0						
6	binder			0						
6	hurtl'ng			0						
6	authentic			0						
6	perpetual			0						
6	perspiration			0						
6	subpar			0						
6	hammock			0						
6	molestation			0						
6	deprived			0						
6	wretch			0						
6	utter	long before JFK uttered his words		0						
6	facet			0						
6	sapling	removes growth rings to reveal the original sapling		0						
6	avenged			0						
6	wiretapping			0						
6	duct tape	Natalie was choked to death in March 2010 after being tied up with duct tape		0						
6	shoved	thr corpse shoved in a closet for 12 hours.		0						
6	hastily			0						
6	curators			0						
6	exemplary			0						
6	tentacle			0						
6	globnar			0						
6		in the sense that I'm really ticked off		0						
6	freckles			0						
6	amicable			0						
6	Compromise			0						
6	mildly			0						
6	obstain			0						
6	perpetrator			0						
6	dismayed			0						
6	plastered			0						
6	attire			0						
6	tending	even though enough people were at the scene tending to the victims.		0						
6	peeping tom			0						
6	wannabe	Obama treats the least of these with respect, while Trump is a wannabe Hitler.		0						
6	audacity			0						
6	"I don't make those decisions,"" Long says. ""I convey the information to the cockpit and the chief flight attendant, and they make the decision about whether or not we're going to land and get someone off the plane."			0						
6	it strikes a chord	When we see images of little children burdened with the pain of this fucking awful disease, it strikes a chord.		0						
6	Hypovolemic shock			0						
6	squalid	the squalid, overcrowded prison		0						
6	cat call	In one instance her inadequate performance provoked catcalls and derision.		0						
6	heckler	he was adept at dealing with hecklers		0						
6	charm school	not all of the bar staff appear to have benefited from a stint at charm school		0						
6	riff	a brilliant guitar riff		0						
6	riff	the other horns would be riffing behind him		0						
6	monolith	independent voices have been crowded out by the media monoliths		0						
6	relevant	the candidate's experience is relevant to the job		0						
6	vehemently	It vehemently denies any involvement in Kim's death.		0						
6	vehemently opposed			0						
6	dashed	head dashed in		0						
6	off the chain			0						
6	chores	Girls as young as four and five are expected to help with household chores and to care for their younger siblings.		0						
6	tantrum	he has temper tantrums if he can't get his own way		0						
6	spared	and another's lives were spared		0						
6	muzzle	But it's not just me that is being assassinated, it's the presidential election. The voices of millions of votes have been muzzled		0						
6	summon	the pope summoned Anselm to Rome		0						
6	septum.	her nose piercing punctured her septum.		0						
6	pitted	The meeting comes at the end of a week in which Trump's public skepticism over evidence Russia interfered in the US political process has pitted him against the country's top spy chiefs and high profile lawmakers in both parties.		0						
6	thrilled	his kiss thrilled and excited her		0						
6	thrilled	the shock of alarm thrilled through her		0						
6	meddled	The US intelligence chief has promised to explain why Russia allegedly meddled in the US presidential election.		0						
6	Disparagement	'Disparagement' of intel agents cause for worry		0						
6	dismissive	"During the hearing -- a rare show of bipartisan unity in Washington -- Democratic Senator Richard Blumenthal said Trump's ""demeaning and dismissive"" comments about intelligence officers were unacceptable, and praised their service."		0						
6	intercepted	Included in that new information were intercepted conversations of Russian officials expressing happiness at Trump's win.		0						
6	mosachism	this idiotic mosachism has to be dropped.		0						
6	feud	the feud between Donald Trump and the US intelligence community will play out behind closed doors Friday when the President-elect is given a briefing on allegations of election-related hacking by Russia.		0						
6	allegations	the feud between Donald Trump and the US intelligence community will play out behind closed doors Friday when the President-elect is given a briefing on allegations of election-related hacking by Russia.		0						
6	skepticism	The meeting comes at the end of a week in which Trump's public skepticism over evidence Russia interfered in the US political process has pitted him against the country's top spy chiefs and high profile lawmakers in both parties.		0						
6	interfered	The meeting comes at the end of a week in which Trump's public skepticism over evidence Russia interfered in the US political process has pitted him against the country's top spy chiefs and high profile lawmakers in both parties.		0						
6	ditch	a ditch of money		0						
6	tampered	"police regularly visit households to check whether the settings have been tampered with, according to Barbara Kemick, author of ""Nothing to Envy"		0						
6	her audacity came in handy during our most recent emergency			0						
6	"I don't make those decisions,"" Long says. ""I convey the information to the cockpit and the chief flight attendant, and they make the decision about whether or not we're going to land and get someone off the plane."			0						
6	it strikes a chord	When we see images of little children burdened with the pain of this fucking awful disease, it strikes a chord.		0						
6	Hypovolemic shock			0						
6	squalid	the squalid, overcrowded prison		0						
6	cat call	In one instance her inadequate performance provoked catcalls and derision.		0						
6	heckler	he was adept at dealing with hecklers		0						
6	charm school	not all of the bar staff appear to have benefited from a stint at charm school		0						
6	riff	a brilliant guitar riff		0						
6	riff	the other horns would be riffing behind him		0						
6	monolith	independent voices have been crowded out by the media monoliths		0						
6	relevant	the candidate's experience is relevant to the job		0						
6	vehemently	It vehemently denies any involvement in Kim's death.		0						
6	vehemently opposed			0						
6	dashed	head dashed in		0						
6	off the chain			0						
6	chores	Girls as young as four and five are expected to help with household chores and to care for their younger siblings.		0						
6	tantrum	he has temper tantrums if he can't get his own way		0						
6	spared	and another's lives were spared		0						
6	muzzle	But it's not just me that is being assassinated, it's the presidential election. The voices of millions of votes have been muzzled		0						
6	summon	the pope summoned Anselm to Rome		0						
6	septum.	her nose piercing punctured her septum.		0						
6	pitted	The meeting comes at the end of a week in which Trump's public skepticism over evidence Russia interfered in the US political process has pitted him against the country's top spy chiefs and high profile lawmakers in both parties.		0						
6	thrilled	his kiss thrilled and excited her		0						
6	thrilled	the shock of alarm thrilled through her		0						
6	meddled	The US intelligence chief has promised to explain why Russia allegedly meddled in the US presidential election.		0						
6	Disparagement	'Disparagement' of intel agents cause for worry		0						
6	dismissive	"During the hearing -- a rare show of bipartisan unity in Washington -- Democratic Senator Richard Blumenthal said Trump's ""demeaning and dismissive"" comments about intelligence officers were unacceptable, and praised their service."		0						
6	intercepted	Included in that new information were intercepted conversations of Russian officials expressing happiness at Trump's win.		0						
6	mosachism	this idiotic mosachism has to be dropped.		0						
6	feud	the feud between Donald Trump and the US intelligence community will play out behind closed doors Friday when the President-elect is given a briefing on allegations of election-related hacking by Russia.		0						
6	allegations	the feud between Donald Trump and the US intelligence community will play out behind closed doors Friday when the President-elect is given a briefing on allegations of election-related hacking by Russia.		0						
6	skepticism	The meeting comes at the end of a week in which Trump's public skepticism over evidence Russia interfered in the US political process has pitted him against the country's top spy chiefs and high profile lawmakers in both parties.		0						
6	interfered	The meeting comes at the end of a week in which Trump's public skepticism over evidence Russia interfered in the US political process has pitted him against the country's top spy chiefs and high profile lawmakers in both parties.		0						
6	ditch	a ditch of money		0						
6	tampered	"police regularly visit households to check whether the settings have been tampered with, according to Barbara Kemick, author of ""Nothing to Envy"		0						
6	staggering	he staggered to his feet, swaying a little. I was staggered to find it was six o'clock		0						
6	Dork	They were a group made up mostly of men who were all nerds and geeks and dorks in high school who went on to become brilliant and funny and irresistible in college.		0						
6	Stultification	Burrows is trapped not only in a ludicrous wig but also in a cumbersome accent and stultifying Brahmin cadence		0						
6	Proclamation	Eisenhower signed a proclamation admitting Alaska to the Union		0						
6	Allegiance	those wishing to receive citizenship must swear allegiance to the republic		0						
6	Quilt	Why would someone go to the trouble of quilting a piece already quilted		0						
6	Hyancinth	The miracle of spring flowers such as tulips, daffodils, hyacinths and lilies is even more astounding when one realizes how they reach the bloom stage each year.		0						
6	Diligent	many caves are located only after a diligent search		0						
6	Industrious	He struck me as being particularly hardworking, energetic and industrious 		0						
